group,genus,individual,scientific_name,common_name,form,AGEmax,DBHmax,Hmax,rootdepth,s,g,beta,bulk,D_L,L_C,DEGDmin,DEGDopt,DEGDmax,shade,drought,flood,perm,nutrient,bark_thick,F_i,fire_regn,stress_tol,death_tol,dbh_min,evegreen,litter_class,invader,seed,sprout,layering,org_tol,recr_age,min_recr_dbh,seedRain_a,seedRain_b,NDE,NDS,species_code
1,'Abies',1,'Abies_balsamea','Balsam_fir',1,400,86,50,1.43,1.179,1.06,1.47,0.378,0.22,0.19,250,1304,2270,1,4,4,2,2,0.05,0.11,3,2,2,0.03,1,10,1,1,0,1,2,15,10,12.747,0.00351,0.6,0.6,ABIEbals
1,'Abies',2,'Abies_lasiocarpa','Subalpine_fir',1,250,76,40,1.43,1.066,1.373,1.47,0.364,0.22,0.19,375,775,1665,2,5,4,2,3,0.015,0.11,6,3,3,0.03,1,10,1,1,0,1,1,20,10,12.747,0.00351,0.5,0.5,ABIElasi
2,'Acer',2,'Acer_spicatum','Mountain_maple',2,25,14,5,1.43,0.646,1.966,1.22,0.53,0.17,0.145,605,946,1230,2,3,3,2,2,0.014,0.094,3,3,2,0.001,0,2,1,100,1,0,2,1,1,12.9129,0.0029,0.5,0.5,ACERspic
3,'Alnus',1,'Alnus_rugosa','Speckled_alder',2,30,20,9,0.5,0.884,2.76,1.17,0.437,0.17,0.145,330,740,1000,5,4,1,2,0,0.021,0.094,2,3,3,0.001,0,4,1,100,0,0,1,1,1,12.9129,0.0029,0.5,0.31,ALNUrugo
3,'Alnus',2,'Alnus_sinuata','Green_alder',2,50,20,9,0.5,0.884,1.65,1.17,0.437,0.17,0.145,200,696,1115,5,4,2,2,0,0.021,0.094,3,1,3,0.001,0,4,1,100,1,1,1,1,1,12.9129,0.0029,0.5,0.5,ALNUsinu
3,'Alnus',3,'Alnus_tenuifolia','Mountain_alder',2,50,20,9,0.5,0.884,1.65,1.17,0.437,0.17,0.145,200,1786,3320,5,4,1,2,0,0.021,0.094,2,1,2,0.001,0,4,1,100,0,0,2,1,1,12.9129,0.0029,0.5,0.31,ALNUtenu
4,'Amelanchier',1,'Amelanchier_alnifolia','Saskatoon_berry',2,50,20,9,0.5,0.884,1.65,1.17,0.703,0.17,0.145,322,890,1230,3,5,7,2,2,0.021,0.094,3,1,2,0.001,0,3,1,100,1,1,1,1,1,12.9129,0.0029,0.5,0.5,AMELalni
5,'Betula',1,'Betula_glandulosa','Resin_birch',4,100,10,3,0.5,0.605,0.228,1.52,0.577,0.17,0.145,120,669,1011,4,5,1,1,1,0.021,0.094,3,1,3,0.001,0,4,1,75,1,1,1,1,1,12.9129,0.0029,0.5,0.5,BETUglan
5,'Betula',2,'Betula_neoalaskana','Alaska_birch',1,170,50,30,1.43,1.218,1.521,1.52,0.55,0.17,0.145,506,790,2400,4,3,6,2,3,0.021,0.094,3,1,3,0.03,0,4,1,50,1,0,3,10,10,12.9129,0.0029,0.3,0.3,BETUneoa
5,'Betula',3,'Betula_papyrifera','Paper_birch',1,150,40,30,1.43,1.536,1.71,1.52,0.55,0.17,0.145,445,815,3619,4,3,6,2,3,0.021,0.094,3,4,3,0.03,0,4,1,50,1,0,3,10,10,12.9129,0.0029,0.2,0.2,BETUpapy
