siteID,runID,year,gdd_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harvest_death,wind_death,gddresp_1,gddresp_2,gddresp_3,gddresp_4,droughtresp_1,droughtresp_2,droughtresp_3,droughtresp_4,shaderesp_1,shaderesp_2,shaderesp_3,shaderesp_4,permresp_1,permresp_2,permresp_3,permresp_4,floodresp_1,floodresp_2,floodresp_3,floodresp_4,nutrientresp_1,nutrientresp_2,nutrientresp_3,nutrientresp_4,Loreys_height,Loreys_height_sd,max_height,max_height_sd,total_biomC,total_biomC_sd,basal_area,basal_area_sd,total_stems,total_stems_sd,small_stems,small_stems_sd,med_stems,med_stems_sd,lg_stems,lg_stems_sd,stand_age,stand_age_sd,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_8,LAI_9,LAI_10,LAI_11,LAI_12
632,2,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.969014,NaN,NaN,NaN,0.969214,NaN,NaN,NaN,0.969214,NaN,NaN,NaN,0.969214,NaN,NaN,NaN,0.969214,NaN,NaN,NaN,0.969214,NaN,NaN,NaN,3.20823,0.381448E-01,5.18354,0.899840E-02,3.80606,0.605882E-01,3.06275,0.758214E-01,100000.,NaN,100000.,NaN,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,5,0.00000,0.00000,1.58613,0.00000,0.00000,0.382949,0.00000,0.00000,0.00000,0.967123,NaN,NaN,NaN,0.967704,NaN,NaN,NaN,0.967466,NaN,NaN,NaN,0.967704,NaN,NaN,NaN,0.967704,NaN,NaN,NaN,0.967624,NaN,NaN,NaN,3.53523,0.365517E-01,6.32156,0.194388E-01,6.92216,0.147178,7.62973,0.162327,34447.2,636.776,34447.2,636.776,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,10.3301,0.152892E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,10,0.925509,0.00000,1.80819,0.00000,0.00000,0.318210,0.00000,0.00000,0.00000,0.958063,NaN,NaN,NaN,0.959476,NaN,NaN,NaN,0.958796,NaN,NaN,NaN,0.959476,NaN,NaN,NaN,0.959476,NaN,NaN,NaN,0.959385,NaN,NaN,NaN,4.30737,0.178263,6.89397,0.463618E-01,10.4621,0.497146,10.9735,0.498424,14179.7,461.276,12558.8,455.559,1620.90,188.070,0.00000,0.00000,9.00000,0.00000,16.2712,0.277018E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,15,1.43150,0.00000,1.37960,0.00000,0.343174,0.355075,0.00000,0.00000,0.00000,0.952495,NaN,NaN,NaN,0.955317,NaN,NaN,NaN,0.953941,NaN,NaN,NaN,0.955317,NaN,NaN,NaN,0.955307,NaN,NaN,NaN,0.955181,NaN,NaN,NaN,5.94265,0.379837E-01,8.05079,0.136629,13.0049,0.936100,12.0610,0.820691,7102.20,343.145,5364.20,299.111,1738.00,171.952,0.00000,0.00000,14.0000,0.00000,19.6879,0.392939,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,20,1.53744,0.00000,1.08654,0.00000,0.00000,0.618012,0.00000,0.00000,0.00000,0.980173,0.892296,NaN,NaN,0.984963,0.922094,NaN,NaN,0.982259,0.919597,NaN,NaN,0.984963,0.922094,NaN,NaN,0.984963,0.922094,NaN,NaN,0.984828,0.922094,NaN,NaN,6.54237,0.163359,11.7494,0.400122,14.9434,1.21504,12.2901,0.926633,5037.20,835.684,3717.30,861.065,1319.90,130.287,0.00000,0.00000,16.6300,2.58195,19.8570,1.87658,0.315239E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,25,0.115162,0.00000,2.20879,0.00000,0.00000,0.946265,0.00000,0.00000,0.00000,0.993171,0.922746,1.00000,NaN,0.998352,0.980199,1.79610,NaN,0.996593,0.969641,1.79610,NaN,0.998352,0.980199,1.79610,NaN,0.998352,0.980199,1.79610,NaN,0.998288,0.980199,1.77906,NaN,9.55512,0.572119,16.6052,0.563598,19.6192,2.21087,13.4908,1.27528,4311.10,528.535,2656.70,556.134,1647.50,155.663,6.90000,14.1204,16.7050,2.41394,22.0885,5.16441,0.856283,0.579487E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,30,0.141499E-01,0.00000,1.96438,0.00000,0.00000,1.16513,0.00000,0.00000,0.00000,0.993154,0.931817,1.00000,NaN,1.00032,0.994484,1.47958,NaN,0.998172,0.975005,1.47880,NaN,1.00032,0.994484,1.47958,NaN,1.00032,0.994484,1.47958,NaN,1.00023,0.994374,1.46932,NaN,11.7021,1.08679,20.5437,1.02683,23.7340,4.22447,13.8156,1.74937,3265.50,495.070,1649.80,578.378,1562.60,186.880,53.1000,31.4218,20.8550,2.70752,22.8768,7.74005,2.44585,0.548804,0.107818E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,35,0.00000,0.00000,0.729271,0.00000,2.63394,0.00000,0.00000,0.00000,0.00000,0.996120,0.964352,1.00000,NaN,1.00545,1.03595,1.67765,NaN,1.00280,1.01064,1.67650,NaN,1.00545,1.03595,1.67765,NaN,1.00438,1.02296,1.29161,NaN,1.00534,1.03565,1.66316,NaN,9.79420,1.02176,22.8986,1.91391,26.2222,6.07044,13.6576,2.05790,2579.00,560.549,911.400,577.955,1639.60,194.878,28.0000,24.8007,25.1200,3.65408,23.9891,10.3949,3.77059,1.53437,0.271992,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,40,0.00000,0.00000,1.45577,0.00000,0.00000,1.57594,0.00000,0.00000,0.00000,0.998539,0.992140,1.00000,1.00000,1.00747,1.03571,1.91406,1.89498,1.00427,1.02314,1.89292,1.89492,1.00747,1.03571,1.91406,1.89498,1.00747,1.03571,1.91406,1.89498,1.00736,1.03538,1.89550,1.87583,11.9854,1.22178,24.4219,2.44456,28.2414,6.60257,13.9663,1.79115,3799.90,2199.78,2301.90,2257.65,1481.60,197.424,16.4000,17.1027,25.1650,7.95640,23.5585,11.1738,3.95473,1.71955,0.520339,0.150945E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,45,0.00000,0.00000,1.40082,0.00000,0.00000,1.39955,0.00000,0.00000,0.00000,0.999148,0.997644,0.973103,1.00000,1.00784,1.03344,1.62855,1.84028,1.00391,1.02711,1.55867,1.83990,1.00784,1.03344,1.62855,1.84028,1.00784,1.03344,1.62855,1.84028,1.00774,1.03300,1.61727,1.82230,11.3422,1.43688,25.5005,2.93872,32.1381,8.60436,15.1845,1.94838,4548.50,2267.17,3241.30,2325.29,1267.80,190.422,39.4000,24.2193,18.8600,10.2123,25.9122,13.1404,4.94809,2.07193,0.825305,0.141564,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,50,0.00000,0.00000,1.31733,0.00000,0.00000,1.68676,0.00000,0.00000,0.00000,0.999550,0.999413,0.984259,1.00000,1.00929,1.03340,1.51208,1.91497,1.00476,1.02957,1.44911,1.91462,1.00929,1.03340,1.51208,1.91497,1.00929,1.03340,1.51208,1.91497,1.00917,1.03297,1.50294,1.89539,12.4961,1.66838,25.7286,3.63150,30.9769,8.50226,15.2023,1.89169,4547.80,2163.93,3420.10,2208.87,1076.20,194.646,51.5000,28.1730,20.3550,10.5444,24.8969,13.5323,5.41368,1.97123,0.886298,0.224399,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,55,0.00000,0.00000,0.990052,0.279107,0.00000,1.01253,0.00000,0.00000,0.00000,0.999775,0.999829,0.991067,1.00000,1.01147,1.03215,1.52224,1.95000,1.00590,1.03003,1.48047,1.94957,1.01130,1.03135,1.49768,1.93628,1.01147,1.03215,1.52224,1.95000,1.01133,1.03177,1.51197,1.92967,12.4294,1.55993,25.5555,3.98536,31.8670,7.54337,15.5826,1.74618,4216.30,1925.46,3034.30,1949.72,1131.60,366.942,50.4000,28.7746,21.8400,10.2983,25.7851,14.1122,5.85675,1.68872,0.743322,0.205943,0.797532E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,60,0.00000,0.00000,1.25809,0.00000,0.00000,1.92322,0.00000,0.00000,0.00000,0.999882,0.999959,0.994632,1.00000,1.01518,1.03548,1.57879,2.00000,1.00765,1.03285,1.54062,2.00000,1.01518,1.03548,1.57879,2.00000,1.01518,1.03548,1.57879,2.00000,1.01500,1.03506,1.56716,1.97860,15.3746,2.39832,25.0878,4.61399,33.8344,7.28762,16.1651,2.13463,3598.40,1613.89,2298.70,1644.67,1258.70,491.103,41.0000,27.1789,25.6900,10.6504,27.6100,15.4589,6.96402,1.88960,0.730902,0.230628,0.204035E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,65,0.00000,0.00000,1.07770,0.888313E-01,0.00000,1.10107,0.00000,0.00000,0.00000,0.999842,0.999930,0.997567,1.00000,1.01729,1.04040,1.56898,2.00000,1.00847,1.03746,1.55081,2.00000,1.01725,1.04007,1.56387,2.00000,1.01729,1.04040,1.56898,2.00000,1.01708,1.03991,1.55800,1.97860,12.2751,1.21058,24.4290,4.59210,35.6093,7.39969,16.5651,2.26104,3164.10,1511.87,1821.40,1563.68,1304.70,510.363,38.0000,29.1935,28.6350,10.5698,28.5726,16.2659,7.71740,2.09755,0.530631,0.175857,0.185466E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,70,0.00000,1.39303,0.493827,0.00000,0.00000,0.352905,0.00000,0.00000,0.00000,0.999838,0.999900,0.999760,1.00000,1.02330,1.05091,1.18838,1.97781,1.01038,1.05290,1.19742,2.00000,1.02577,1.05757,1.20049,2.00000,1.02577,1.05757,1.20049,2.00000,1.02546,1.05688,1.19759,1.97860,12.6123,1.17400,24.2839,4.21131,37.5284,7.24572,16.8899,2.47388,2669.40,1360.02,1354.70,1382.92,1190.20,497.960,124.500,48.5959,33.3400,11.3152,29.7812,17.4338,8.68276,2.65653,0.435870,0.149367,0.125360E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,75,0.00000,0.00000,1.56284,0.00000,0.00000,1.11294,0.00000,0.00000,0.00000,0.999819,0.999952,1.00000,1.00000,1.03594,1.07761,1.12942,2.00000,1.01403,1.06966,1.12775,2.00000,1.03594,1.07749,1.12921,2.00000,1.03594,1.07761,1.12942,2.00000,1.03552,1.07669,1.12760,1.97860,13.2393,1.29283,24.5190,3.70162,39.3695,7.95224,17.0366,2.64918,2191.10,1194.30,966.300,1139.72,1048.20,453.086,176.600,58.6313,37.9500,12.0542,30.7128,18.5604,9.61478,3.40563,0.501133,0.150906,0.148893E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,80,0.00000,0.00000,1.11783,0.00000,0.00000,1.08395,0.00000,0.00000,0.00000,0.999775,0.999916,1.00000,1.00000,1.03530,1.10821,1.11146,2.00000,1.01480,1.09327,1.10969,2.00000,1.03530,1.10821,1.11146,2.00000,1.03530,1.10821,1.11146,2.00000,1.03488,1.10692,1.10998,1.97860,13.2177,1.20062,24.5026,2.63093,38.4058,7.68742,16.6528,2.60379,2028.90,1338.85,923.800,1353.29,903.400,430.674,201.700,65.7627,41.3300,13.4385,28.6879,18.3942,9.95321,4.00820,0.606019,0.918316E-01,0.109116E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,85,0.00000,0.00000,1.27034,0.116727E-01,0.00000,0.867646,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.04276,1.12759,1.10325,2.00000,1.01701,1.10569,1.10071,2.00000,1.04273,1.12742,1.10296,2.00000,1.04276,1.12759,1.10325,2.00000,1.04225,1.12609,1.10197,1.97860,16.9335,1.64403,25.2599,2.24112,40.7515,8.11957,16.9470,2.63294,1882.20,1558.13,883.700,1572.11,784.900,420.536,213.600,62.8233,45.0800,15.9145,29.7182,19.4896,10.8551,4.80314,0.942292,0.798098E-01,0.129349E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,90,0.00000,0.00000,0.407102,0.795905E-01,1.55786,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.05261,1.11692,1.11234,1.95833,1.02047,1.09163,1.10930,1.95833,1.05249,1.11644,1.11194,1.95833,1.04706,1.10554,1.09724,1.38027,1.05199,1.11554,1.11094,1.93782,17.4685,1.67413,25.9917,1.94471,42.2826,8.48952,16.8579,2.60118,1581.40,1344.07,704.700,1342.99,678.200,401.666,198.500,59.5776,49.5400,17.1062,30.2143,20.2842,11.6643,5.55436,1.41852,0.739143E-01,0.177496E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,95,0.00000,1.72385,0.178984,0.860478E-01,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00793,1.01965,1.02868,1.93430,1.02760,1.10193,1.12295,1.98769,1.06578,1.13274,1.12510,2.00000,1.06749,1.13468,1.12666,2.00000,1.06669,1.13308,1.12507,1.97860,19.8894,2.22547,26.5513,1.37300,41.2525,9.48852,16.2865,2.91358,1394.20,1266.63,628.800,1246.41,587.100,359.407,178.300,56.2399,53.7300,18.5130,30.1942,20.6660,12.2217,6.10498,1.87255,0.698101E-01,0.598234E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,100,0.00000,0.00000,1.21599,0.00000,0.00000,1.44024,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.08546,1.14444,1.13762,2.00000,1.03359,1.11067,1.13329,1.97669,1.08546,1.14444,1.13762,2.00000,1.08546,1.14444,1.13762,2.00000,1.08444,1.14273,1.13590,1.97860,13.4010,1.58399,27.2670,0.997130,42.6073,10.4302,16.2653,2.91365,1716.80,1952.57,1013.70,1909.73,539.200,370.358,163.900,52.5796,52.5250,24.1694,28.5453,20.3695,12.5242,6.56959,2.37110,0.159092,0.531861E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,105,0.00000,1.40279,0.345643,0.568602E-02,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.09056,1.13829,1.13999,1.98510,1.04134,1.12007,1.14773,1.97357,1.09997,1.15296,1.15235,2.00000,1.09997,1.15302,1.15242,2.00000,1.09879,1.15122,1.15052,1.97860,13.8934,1.73786,27.7911,1.07075,40.8805,11.3024,15.5794,2.94255,2193.20,2519.70,1584.20,2485.45,457.200,346.120,151.800,52.0607,54.5300,27.6948,25.7479,19.1697,12.1841,6.64105,2.63248,0.260480,0.375162E-02,0.00000,0.00000,0.00000,0.00000,0.00000
